Timestamp,Label,MotorData.ActCurrent,MotorData.ActPosition,MotorData.ActSpeed,MotorData.IsAcceleration,MotorData.IsForce,MotorData.Motor_Pos1reached,MotorData.Motor_Pos2reached,MotorData.Motor_Pos3reached,MotorData.Motor_Pos4reached,NVL_Recv_Ind.GL_Metall,NVL_Recv_Ind.GL_NonMetall,NVL_Recv_Storage.GL_I_ProcessStarted,NVL_Recv_Storage.GL_I_Slider_IN,NVL_Recv_Storage.GL_I_Slider_OUT,NVL_Recv_Storage.GL_LightBarrier,NVL_Send_Storage.ActivateStorage,PLC_PRG.Gripper,PLC_PRG.MaterialIsMetal
1461148512.938,0,-5,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148512.98,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.031,0,-5,268975,0,0,-3,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.079,0,0,268975,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.122,0,0,268975,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.169,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.215,0,-9,268975,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.266,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.307,0,-5,268975,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.354,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.405,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.449,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.5,0,0,268975,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.544,0,-5,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.591,0,12,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.637,0,-9,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.683,0,-9,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.731,0,3,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.781,0,-18,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.829,0,7,268975,0,0,-3,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.871,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.918,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148513.966,0,-5,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.016,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.057,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.106,0,-5,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.155,0,-5,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.199,0,20,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.249,0,7,268975,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.293,0,-9,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.343,0,-5,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.39,0,-5,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.434,0,3,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.481,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.531,0,0,268975,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.572,0,12,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.623,0,12,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.667,0,12,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.718,0,3,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.766,0,-9,268975,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.808,0,-9,268975,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.855,0,-9,268975,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.905,0,7,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148514.95,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.001,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.044,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.09,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.14,0,-9,268975,0,0,-3,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.184,0,7,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.23,0,7,268975,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.281,0,20,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.323,0,20,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.373,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.418,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.466,0,7,268975,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.516,0,20,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.563,0,-9,268975,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.606,0,-9,268975,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.652,0,12,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.702,0,12,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.751,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.793,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.84,0,-9,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.891,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.935,0,0,268975,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148515.98,0,7,268975,0,0,-3,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148516.032,0,7,268975,0,0,-3,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148516.073,0,7,268975,0,0,-3,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148516.12,0,0,268975,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148516.168,0,7,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148516.217,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148516.261,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1461148516.308,0,0,268975,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
