Timestamp,MotorData.ActCurrent,MotorData.ActSpeed,MotorData.IsAcceleration,MotorData.IsForce,MotorData.Motor_Pos1reached,MotorData.Motor_Pos2reached,MotorData.Motor_Pos3reached,MotorData.Motor_Pos4reached,MotorData.SetAcceleration,MotorData.SetCurrent,MotorData.SetForce,MotorData.SetSpeed,NVL_Recv_Ind.GL_Metall,NVL_Recv_Ind.GL_NonMetall,NVL_Recv_Storage.GL_I_ProcessStarted,NVL_Recv_Storage.GL_I_Slider_IN,NVL_Recv_Storage.GL_I_Slider_OUT,NVL_Recv_Storage.GL_LightBarrier,NVL_Send_Storage.ActivateStorage,PLC_PRG.Gripper,PLC_PRG.MaterialIsMetal,NVL_Recv_Storage.GL_X_TimeSlideIn,NVL_Recv_Storage.GL_X_TimeSlideOut
1500914864061,344,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864102,344,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864151,344,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864198,344,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864244,340,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864291,355,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864339,355,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864385,346,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864431,364,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864477,352,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864525,356,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864571,356,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864620,351,0,0,74,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864667,346,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864714,356,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864759,356,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864806,352,0,0,75,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864854,352,0,0,75,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864900,350,0,0,73,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864946,358,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914864994,362,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865041,362,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865087,344,0,0,75,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865135,348,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865181,350,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865229,345,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865274,345,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865321,345,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865369,360,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865417,356,0,0,74,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865464,355,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865508,351,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865557,351,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865603,360,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865650,354,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865696,347,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865745,347,0,0,75,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865791,352,0,0,80,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865838,352,0,0,80,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865884,352,0,0,80,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865932,352,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914865977,355,0,0,80,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866026,354,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866072,354,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866118,344,0,0,75,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866167,348,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866213,348,0,0,74,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866261,347,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866306,347,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866355,346,0,0,80,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866399,356,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866447,356,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866495,354,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866541,347,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866587,347,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866635,358,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866682,333,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866728,360,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866775,360,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866823,343,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866871,370,0,0,76,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866915,335,0,0,80,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914866964,360,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914867010,360,0,0,78,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914867057,346,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914867103,346,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914867151,368,0,0,80,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914867197,354,0,0,77,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
1500914867242,352,0,0,79,0,0,0,1,77,352,77,0,0,1,0,1,0,1,0,0,0,240,200
